mz,int,formula
271.097582,249.4,C16H16O4
271.118711,249.8,C13H20O6
271.133967,108.4,C17H20O3
271.170353,4.6,C18H24O2
272.056446,72.8,C14H11N1O5
272.077575,53.7,C11H15N1O7
272.092831,9.6,C15H15N1O4
273.004076,202.8,C13H6O7
273.025205,483.8,C10H10O9
273.036438,15.9,C9H10N2O8
273.040461,559.2,C14H10O6
273.06159,843.3,C11H14O8
273.076846,448.4,C15H14O5
273.097976,250.9,C12H18O7
273.113232,241.8,C16H18O4
273.134361,4.9,C13H22O6
273.149617,89.3,C17H22O3
274.03571,84.3,C13H9N1O6
274.072095,72.2,C14H13N1O5
274.108481,5.7,C15H17N1O4
274.98334,14.2,C12H4O8
275.019726,515.7,C13H8O7
275.023097,21.1,C10H12O7S1
275.034982,15.1,C17H8O4
275.040855,313.7,C10H12O9
275.056111,686.2,C14H12O6
275.059482,22,C11H16O6S1
275.071367,39.8,C18H12O3
275.07724,145.6,C11H16O8
275.092497,520.3,C15H16O5
275.128882,252.6,C16H20O4
276.014975,46.7,C12H7N1O7
276.05136,131.2,C13H11N1O6
276.087746,63.6,C14H15N1O5
276.99899,169.3,C12H6O8
277.002361,9.3,C9H10O8S1
277.014247,7.4,C16H6O5
277.035376,830.8,C13H10O7
277.050632,130.3,C17H10O4
277.056505,49.6,C10H14O9
277.071761,831.6,C14H14O6
277.087017,53,C18H14O3
277.108146,663.1,C15H18O5
277.144532,188,C16H22O4
278.030625,98.5,C12H9N1O7
278.06701,136.7,C13H13N1O6
278.103396,33.8,C14H17N1O5
278.978255,5,C11H4O9
279.01464,570.2,C12H8O8
279.018011,17.7,C9H12O8S1
279.029897,154.4,C16H8O5
279.051026,1101.8,C13H12O7
279.062259,44.8,C12H12N2O6
279.066282,157.2,C17H12O4
279.087411,1147.9,C14H16O6
279.098645,9.9,C13H16N2O5
279.102667,37.9,C18H16O3
279.123797,651.9,C15H20O5
279.160182,66.3,C16H24O4
279.163553,3.4,C13H28O4S1
280.046275,159.3,C12H11N1O7
280.061531,8.5,C16H11N1O4
280.08266,113.6,C13H15N1O6
280.119046,4.3,C14H19N1O5
280.993905,86,C11H6O9
281.009161,91.6,C15H6O6
281.03029,1086,C12H10O8
281.045547,238,C16H10O5
281.066676,1598,C13H14O7
281.077909,24.6,C12H14N2O6
281.081932,157.2,C17H14O4
281.103061,1527.2,C14H18O6
281.118317,51.8,C18H18O3
281.139446,352.9,C15H22O5
282.061925,194.6,C12H13N1O7
282.09831,50.2,C13H17N1O6
282.991797,2.9,C11H8O7S1
283.009555,318.2,C11H8O9
283.020788,3.9,C10H8N2O8
283.024811,237.3,C15H8O6
283.04594,1753.2,C12H12O8
283.057174,34.5,C11H12N2O7
283.061196,297.3,C16H12O5
283.082326,2182.7,C13H16O7
