mz,int,formula
265.109186,140562560,C14H18O5
265.124464,8605834,C18H18O2
265.145566,41111700,C15H22O4
266.031697,7529019,C11H9N1O7
266.039772,10506815,C11H10O7 13C1
266.055053,6332999,C15H10O4 13C1
266.068031,19944012,C12H13N1O6
266.07615,18764368,C12H14O6 13C1
266.091431,5386840,C16H14O3 13C1
266.104436,9630302,C13H17N1O5
266.112519,22532706,C13H18O5 13C1
266.148923,6480500,C14H22O4 13C1
267.015693,21992472,C11H8O8
267.028524,8512543,C19H8S1
267.030934,36492320,C15H8O5
267.052057,116839464,C12H12O7
267.067306,52122676,C16H12O4
267.08844,190633024,C13H16O6
267.103717,23532612,C17H16O3
267.124848,88331344,C14H20O5
267.140079,8950870,C18H20O2
267.161217,10966112,C15H24O4
267.233994,12153988,C17H32O2
268.03429,7058961,C14H8O5 13C1
268.047321,14497303,C11H11N1O7
268.055425,13022747,C11H12O7 13C1
268.070697,7587363,C15H12O4 13C1
268.083693,15111721,C12H15N1O6
268.091812,24630830,C12H16O6 13C1
268.09898,6882865,C16H15N1O3
268.107049,4259381,C16H16O3 13C1
268.128183,15365695,C13H20O5 13C1
269.007784,7985146,C18H6O1S1
269.010217,19159036,C14H6O6
269.031349,50812936,C11H10O8
269.046581,69457936,C15H10O5
269.067706,157734944,C12H14O7
269.082975,51206176,C16H14O4
269.104113,135977008,C13H18O6
269.119367,24680498,C17H18O3
269.140482,23517246,C14H22O5
269.155734,9689157,C18H22O2
269.249629,14694517,C17H34O2
270.013478,4065788,C13H6O6 13C1
270.034693,9034247,C10H10O8 13C1
270.041837,11803147,C14H9N1O5
270.049947,9488911,C14H10O5 13C1
270.054401,18602514,C10H13N3O4S1
270.062964,12655126,C11H13N1O7
270.07109,18586138,C11H14O7 13C1
270.078239,9640478,C15H13N1O4
270.086335,9566754,C15H14O4 13C1
270.107454,20781612,C12H18O6 13C1
270.122746,5315125,C16H18O3 13C1
270.143813,3570240,C13H22O5 13C1
270.987038,6433782,C17H4O2S1
271.010556,7396354,C10H8O9
271.023473,10632200,C14H8O6
271.025872,51698696,C14H8O6
271.047004,79354904,C11H12O8
271.062237,82893856,C15H12O5
271.083366,122215464,C12H16O7
271.09865,50027568,C16H16O4
271.119783,32939066,C13H20O6
271.135007,26811458,C17H20O3
271.17139,6560854,C18H24O2
272.021109,6614550,C13H7N1O6
272.029211,9199130,C13H8O6 13C1
272.05034,9436709,C10H12O8 13C1
272.057505,15031849,C14H11N1O5
272.065622,14065197,C14H12O5 13C1
272.07007,12926511,C10H15N3O4S1
272.086754,12820024,C11H16O7 13C1
272.093869,10878524,C15H15N1O4
272.101974,10878528,C15H16O4 13C1
272.123128,6381132,C12H20O6 13C1
272.138406,6000212,C16H20O3 13C1
273.005109,23961634,C13H6O7
273.02625,21602350,C10H10O9
273.039112,9601076,C14H10O6
273.041533,78241848,C14H10O6
273.062658,47931456,C11H14O8
273.077893,95084616,C15H14O5
273.099029,29024340,C12H18O7
273.114306,58908764,C16H18O4
273.150666,27517040,C17H22O3
274.008472,4635200,C12H6O7 13C1
274.036761,10355279,C13H9N1O6
274.04486000000003,13132371,C13H10O6 13C1
274.049346,13501014,C9H13N3O5S1
274.066009,7955039,C10H14O8 13C1
274.073172,16155234,C14H13N1O5
274.081262,14459495,C14H14O5 13C1
274.102401,4631155,C11H18O7 13C1
274.109532,8086134,C15H17N1O4
274.117643,10879611,C15H18O4 13C1
274.154028,4137615,C16H22O3 13C1
275.01836,9610343,C13H8O7
275.020786,47015016,C13H8O7
275.036017,7890032,C17H8O4
275.041904,16884852,C10H12O9
275.057184,105571448,C14H12O6
275.078323,12362887,C11H16O8
275.093558,108323984,C15H16O5
275.12996,63497380,C16H20O4
275.166308,15697080,C17H24O3
276.024131,7304850,C12H8O7 13C1
276.052409,18048672,C13H11N1O6
276.060537,16565925,C13H12O6 13C1
276.065038,10921640,C9H15N3O5S1
276.088835,13526709,C14H15N1O5
276.096903,17934010,C14H16O5 13C1
276.133298,9537230,C15H20O4 13C1
277.000042,12961969,C12H6O8
277.036461,77064392,C13H10O7
277.051698,28190926,C17H10O4
277.07282,140437728,C14H14O6
277.0881,18163938,C18H14O3
277.109238,126019824,C15H18O5
277.145588,53799172,C16H22O4
277.182004,6531351,C17H26O3
278.031691,7891701,C12H9N1O7
278.039833,9784057,C12H10O7 13C1
278.055046,6208258,C16H10O4 13C1
278.068106,19049224,C13H13N1O6
278.076186,19426062,C13H14O6 13C1
278.091566,3543830,C17H14O3 13C1
278.104459,11676445,C14H17N1O5
278.112589,20769570,C14H18O5 13C1
278.148976,9915190,C15H22O4 13C1
279.015717,30567714,C12H8O8
279.028596,6479145,C20H8S1
279.030994,24931626,C16H8O5
279.05211,115731768,C13H12O7
279.067362,37678400,C17H12O4
279.088505,168619344,C14H16O6
